player_id,team,samples,distance_m,max_speed_mps
1,B,27,22.06,3.31
2,B,264,276.73,21.03
3,B,22,36.45,5.89
4,B,11,28.73,11.17
5,B,20,65.27,12.03
6,B,36,83.24,32.65
7,B,95,184.64,18.09
8,B,48,117.22,21.25
9,B,23,24.71,11.07
10,B,61,73.3,18.47
11,B,91,190.23,19.73
12,B,3,2.76,4.12
13,B,26,69.31,16.17
14,B,29,13.34,2.2
15,B,72,70.57,11.36
16,B,29,40.53,21.7
17,B,42,86.87,23.41
18,B,25,52.48,49.19
19,B,37,43.15,8.53
20,B,3,2.13,2.84
21,B,25,19.62,4.92
22,B,67,103.81,9.68
23,B,17,37.91,8.45
24,B,2,14.43,28.86
25,B,32,118.23,48.78
26,B,17,44.75,8.92
27,B,171,506.7,58.26
28,B,20,30.37,12.66
29,B,17,30.95,7.63
30,B,71,145.67,26.74
31,B,13,43.3,15.01
32,B,5,19.72,24.18
33,B,64,259.5,44.62
34,B,64,198.7,31.83
35,B,38,130.62,25.29
36,B,44,140.18,20.45
37,B,25,53.48,11.25
38,B,66,209.37,18.51
39,B,123,297.54,32.71
40,B,111,370.19,49.13
41,B,70,214.86,32.04
42,B,56,138.34,20.64
43,B,72,224.92,26.13
44,B,31,57.65,9.94
45,B,16,28.72,6.03
46,B,17,53.91,57.42
47,B,16,37.7,8.08
48,B,36,96.02,42.87
49,B,29,85.82,26.3
50,B,12,24.85,9.01
51,B,57,209.99,24.8
52,B,19,55.08,18.53
53,B,46,149.02,42.68
54,B,1,0.0,0.0
56,B,17,45.72,12.32
57,B,18,48.99,15.07
58,B,65,216.76,47.14
59,B,46,204.63,58.35
60,B,17,42.51,10.53
61,B,4,4.26,4.57
62,B,1,0.0,0.0
63,B,40,151.98,21.68
64,B,77,160.05,23.32
65,B,34,60.43,16.95
66,B,76,171.34,24.31
67,B,82,251.22,49.48
68,B,29,41.55,10.36
69,B,2,1.79,3.58
70,B,58,299.55,47.64
71,B,68,240.39,48.13
72,B,15,44.54,10.15
73,B,31,132.51,24.33
74,B,20,98.74,48.55
75,B,3,13.25,2.67
76,B,37,164.25,45.29
77,B,2,2.16,4.31
78,B,10,72.79,35.8
79,B,8,51.01,44.27
80,B,52,256.02,67.3
81,B,28,46.92,12.51
82,B,24,34.75,3.92
83,B,30,90.25,16.49
84,B,26,75.42,28.7
85,B,38,124.27,24.66
86,B,1,0.0,0.0
87,B,27,82.16,22.88
88,B,35,52.88,7.95
89,B,29,49.58,7.82
90,B,30,72.35,20.65
91,B,30,149.19,64.19
92,B,12,28.55,13.18
93,B,4,14.41,7.21
94,B,4,18.65,12.52
95,B,5,11.75,2.29
96,B,4,0.4,0.4
97,B,4,0.0,0.0
99,B,2,1.25,2.49
100,B,19,109.35,53.94
114,B,11,46.44,29.36
116,B,14,49.16,24.97
117,B,15,38.36,17.52
118,B,15,68.99,38.72
129,B,16,37.19,11.32
130,B,17,22.82,6.58
131,B,1,0.0,0.0
132,B,16,14.14,3.99
142,B,6,38.85,27.99
143,B,3,7.38,11.86
144,B,3,0.0,0.0
145,B,3,0.0,0.0
146,B,1,0.0,0.0
148,B,3,2.56,3.51
149,B,3,4.13,5.17
150,B,3,0.74,0.99
151,B,3,4.06,5.27
152,B,3,16.81,28.17
153,B,3,13.68,24.58
154,B,3,16.16,31.1
155,B,3,0.3,0.61
156,B,3,7.69,13.1
157,B,3,3.64,3.79
158,B,3,1.5,1.68
159,B,3,2.78,3.49
160,B,3,0.97,1.83
161,B,3,0.82,1.21
162,B,3,1.99,2.3
163,B,3,19.71,21.17
164,B,3,2.2,2.39
165,B,3,2.98,4.2
166,B,3,0.83,1.11
167,B,3,10.63,18.86
168,B,1,0.0,0.0
169,B,38,65.93,13.81
170,B,100,244.19,17.82
171,B,19,40.07,11.14
172,B,86,260.86,38.27
173,B,61,132.13,11.38
174,B,55,222.08,39.98
175,B,137,267.26,26.91
176,B,13,56.33,22.07
177,B,19,47.82,8.89
178,B,16,19.03,3.5
179,B,54,184.42,38.19
180,B,33,90.5,19.57
181,B,27,42.66,9.96
182,B,12,60.12,17.25
183,B,26,88.66,17.88
184,B,180,142.78,22.84
185,B,24,35.65,13.73
186,B,19,68.61,40.66
187,B,33,101.96,43.37
188,B,16,79.72,22.8
189,B,55,216.91,40.97
190,B,23,28.91,17.72
191,B,23,58.5,16.99
192,B,2,2.53,1.69
193,B,2,0.0,0.0
194,B,6,9.78,5.75
195,B,114,323.19,27.95
196,B,19,86.96,63.75
197,B,1,0.0,0.0
201,B,80,199.9,24.69
202,B,13,14.18,8.34
203,B,12,35.9,19.6
204,B,24,105.43,18.66
205,B,2,36.77,5.66
206,B,19,41.25,7.22
207,B,8,19.87,14.15
208,B,1,0.0,0.0
209,B,3,1.45,2.9
210,B,3,0.0,0.0
211,B,17,60.06,21.05
212,B,4,3.61,4.74
213,B,4,11.27,11.12
214,B,155,434.57,40.47
215,B,8,18.53,3.26
216,B,8,16.88,2.92
217,B,31,47.49,6.05
218,B,5,11.77,4.91
219,B,24,124.96,59.19
220,B,21,59.02,20.12
221,B,21,103.85,39.05
222,B,4,8.47,3.93
223,B,18,57.79,10.87
224,B,2,7.55,7.55
225,B,55,143.55,13.63
226,B,37,127.92,33.59
227,B,45,100.53,32.71
228,B,51,128.51,36.41
229,B,2,7.64,7.64
230,B,24,104.01,22.62
231,B,27,54.83,7.67
232,B,24,87.43,43.84
233,B,36,53.42,9.49
234,B,42,96.13,22.67
235,B,3,19.35,24.5
236,B,3,6.15,5.43
237,B,3,0.2,0.2
238,B,3,0.18,0.18
239,B,8,6.75,4.4
240,B,33,79.18,12.14
241,B,34,50.45,4.49
242,B,1,0.0,0.0
243,B,173,635.05,44.41
244,B,1,0.0,0.0
245,B,74,150.9,26.54
246,B,17,51.32,11.95
273,B,30,78.98,20.05
