frame,time,team,players,centroid_x,centroid_y
0,0.0,B,18,51.088,43.059
1,0.5,B,20,52.737,43.107
2,1.0,B,20,52.956,44.258
3,1.5,B,18,50.825,44.416
7,3.5,B,20,55.202,44.074
8,4.0,B,17,55.823,45.918
9,4.5,B,19,54.369,44.152
10,5.0,B,19,54.63,44.646
11,5.5,B,20,54.331,43.982
12,6.0,B,19,55.21,44.977
15,7.5,B,23,55.877,44.052
16,8.0,B,22,56.993,42.214
17,8.5,B,20,56.826,43.705
18,9.0,B,19,59.0,44.601
19,9.5,B,18,60.051,45.203
20,10.0,B,19,62.062,44.329
21,10.5,B,17,61.624,45.219
22,11.0,B,20,59.968,44.056
23,11.5,B,18,60.884,46.051
24,12.0,B,16,60.259,46.533
25,12.5,B,21,59.961,45.02
26,13.0,B,17,61.867,45.011
27,13.5,B,16,63.012,45.183
28,14.0,B,17,62.749,44.345
29,14.5,B,15,63.507,44.832
30,15.0,B,18,62.145,43.911
31,15.5,B,17,62.422,45.115
34,17.0,B,13,63.924,44.615
36,18.0,B,13,63.69,43.781
38,19.0,B,12,60.307,45.127
39,19.5,B,10,61.53,44.261
42,21.0,B,11,61.81,42.267
43,21.5,B,10,62.016,41.484
44,22.0,B,8,58.966,44.449
45,22.5,B,9,60.171,45.84
46,23.0,B,10,61.662,42.326
48,24.0,B,10,59.936,40.381
49,24.5,B,10,60.228,41.941
50,25.0,B,7,57.369,42.278
51,25.5,B,7,57.591,43.108
52,26.0,B,8,57.714,42.434
53,26.5,B,10,56.176,40.901
54,27.0,B,9,56.608,41.946
55,27.5,B,6,57.111,43.828
56,28.0,B,7,55.842,45.196
57,28.5,B,6,56.511,44.375
58,29.0,B,7,55.939,44.669
59,29.5,B,7,55.805,44.34
60,30.0,B,6,54.5,45.667
61,30.5,B,7,54.911,45.369
62,31.0,B,6,53.906,44.618
63,31.5,B,5,54.647,43.639
64,32.0,B,4,54.809,43.183
65,32.5,B,6,54.466,43.685
66,33.0,B,5,53.851,43.672
67,33.5,B,5,54.069,43.546
68,34.0,B,6,54.389,42.844
69,34.5,B,6,54.46,43.254
70,35.0,B,7,54.407,42.447
71,35.5,B,6,54.93,41.726
72,36.0,B,6,55.044,41.423
73,36.5,B,7,54.301,42.448
74,37.0,B,6,54.84,42.929
75,37.5,B,4,53.927,43.034
76,38.0,B,5,54.757,45.321
77,38.5,B,5,54.876,44.855
78,39.0,B,7,54.25,42.409
79,39.5,B,7,54.314,43.252
80,40.0,B,7,54.381,42.685
81,40.5,B,8,54.669,41.836
