frame,image_x,image_y,pitch_x,pitch_y,is_key
0,976.0,749.4,52.84,32.67,1
1,975.9,749.2,52.83,32.6,0
2,975.8,749.0,52.82,32.54,0
3,975.8,748.9,52.81,32.47,0
4,975.7,748.7,52.8,32.4,0
5,975.6,748.5,52.8,32.34,0
6,975.5,748.4,52.79,32.27,0
7,975.4,748.2,52.78,32.21,0
8,975.4,748.0,52.77,32.14,0
9,975.3,747.8,52.76,32.07,0
10,975.2,747.6,52.76,32.01,0
11,975.1,747.5,52.75,31.94,0
12,975.0,747.3,52.74,31.87,0
13,975.0,747.1,52.73,31.8,0
14,974.9,747.0,52.72,31.74,0
15,974.8,746.8,52.71,31.67,0
16,974.7,746.6,52.71,31.6,0
17,974.7,746.4,52.7,31.53,0
18,974.6,746.2,52.69,31.47,0
19,974.5,746.1,52.68,31.4,0
20,974.4,745.9,52.67,31.33,0
21,974.3,745.7,52.66,31.26,0
22,974.3,745.6,52.66,31.2,0
23,974.2,745.4,52.65,31.13,0
24,974.1,745.2,52.64,31.06,1
25,974.1,746.3,52.65,31.49,1
26,975.5,745.7,52.77,31.25,1
27,975.1,745.7,52.73,31.25,0
28,974.7,745.7,52.7,31.25,0
29,974.3,745.7,52.66,31.25,0
30,973.9,745.7,52.63,31.25,1
31,973.3,744.9,52.57,30.94,1
32,981.5,744.1,53.29,30.62,1
33,989.8,742.6,54.04,30.02,0
34,998.1,741.1,54.79,29.41,1
35,1027.8,742.8,57.45,30.04,0
36,1057.4,744.4,60.08,30.66,1
37,1053.5,744.1,59.74,30.55,0
38,1049.6,743.8,59.39,30.45,0
39,1045.7,743.6,59.05,30.35,0
40,1041.8,743.3,58.71,30.24,1
41,1049.3,743.6,59.37,30.34,0
42,1056.7,743.8,60.03,30.44,0
43,1064.2,744.1,60.69,30.53,1
44,1069.7,743.7,61.19,30.35,0
45,1075.1,743.2,61.69,30.17,0
46,1080.6,742.8,62.2,29.99,0
47,1086.0,742.3,62.7,29.81,0
48,1091.5,741.9,63.21,29.63,1
49,1096.3,742.2,63.63,29.74,0
50,1101.2,742.5,64.05,29.84,0
51,1106.0,742.7,64.47,29.95,0
52,1110.8,743.0,64.89,30.05,1
53,1114.7,742.7,65.25,29.92,0
54,1118.6,742.4,65.62,29.79,0
55,1122.5,742.1,65.98,29.66,0
56,1126.4,741.7,66.35,29.53,0
57,1130.3,741.4,66.71,29.4,0
58,1134.2,741.1,67.08,29.27,0
59,1138.1,740.8,67.45,29.14,1
60,1139.2,741.7,67.5,29.5,1
61,1140.1,744.1,67.45,30.44,0
62,1141.0,746.5,67.4,31.36,0
63,1141.9,748.8,67.35,32.27,0
64,1142.8,751.2,67.3,33.15,1
65,1144.5,752.5,67.38,33.62,0
66,1146.1,753.7,67.46,34.08,0
67,1147.8,755.0,67.53,34.53,0
68,1149.4,756.2,67.61,34.98,0
69,1151.1,757.5,67.68,35.42,0
70,1152.8,758.8,67.75,35.86,0
71,1154.4,760.0,67.83,36.3,0
72,1156.1,761.3,67.9,36.73,1
73,1158.0,762.2,68.01,37.03,0
74,1159.9,763.1,68.12,37.32,0
75,1161.8,763.9,68.23,37.61,0
76,1163.7,764.8,68.34,37.9,0
77,1165.7,765.7,68.45,38.19,0
78,1167.6,766.6,68.56,38.48,0
79,1169.5,767.4,68.66,38.76,0
80,1171.4,768.3,68.77,39.04,0
81,1173.3,769.2,68.88,39.32,1
82,1175.8,769.9,69.03,39.56,0
83,1178.2,770.7,69.19,39.79,0
84,1180.7,771.4,69.35,40.02,1
85,1183.3,773.8,69.41,40.78,0
86,1185.9,776.3,69.48,41.53,1
87,1189.2,776.6,69.72,41.62,1
88,1191.4,777.6,69.84,41.93,0
89,1193.6,778.7,69.95,42.24,0
90,1195.8,779.7,70.06,42.55,0
91,1198.1,780.8,70.17,42.85,0
92,1200.3,781.8,70.28,43.16,0
93,1202.5,782.9,70.39,43.46,0
94,1204.7,783.9,70.5,43.76,1
95,1196.0,786.1,69.72,44.4,0
96,1187.3,788.3,68.95,45.04,0
97,1178.6,790.6,68.19,45.67,0
