player_id,team,samples,distance_m,max_speed_mps
1,B,27,21.64,3.83
2,B,264,405.8,32.55
3,B,22,48.81,10.82
4,B,11,48.43,19.41
5,B,20,112.23,25.19
6,B,36,145.37,64.23
7,B,95,330.29,36.81
8,B,48,210.39,38.06
9,B,23,43.19,21.11
10,B,61,125.01,33.78
11,B,91,356.2,37.5
12,B,3,4.11,6.55
13,B,26,107.46,24.14
14,B,29,19.21,3.58
15,B,72,112.62,21.3
16,B,29,60.34,35.64
17,B,42,131.44,29.38
18,B,25,80.98,83.94
19,B,37,48.95,15.08
20,B,3,4.15,5.53
21,B,25,25.84,7.45
22,B,67,167.69,18.84
23,B,17,67.36,17.49
24,B,2,28.71,57.43
25,B,32,200.53,83.53
26,B,17,65.4,13.79
27,B,171,838.6,106.03
28,B,20,54.2,25.35
29,B,17,57.41,14.38
30,B,71,218.41,37.52
31,B,13,74.72,27.49
32,B,5,37.17,44.14
33,B,64,404.34,67.34
34,B,64,283.67,54.23
35,B,38,211.53,51.43
36,B,44,219.61,37.24
37,B,25,86.43,17.14
38,B,66,328.65,33.95
39,B,123,427.09,59.09
40,B,111,631.26,89.22
41,B,70,298.37,53.08
42,B,56,199.78,29.55
43,B,72,353.42,47.95
44,B,31,99.82,12.71
45,B,16,45.14,9.51
46,B,17,79.75,100.17
47,B,16,61.1,16.06
48,B,36,156.7,85.43
49,B,29,140.13,48.92
50,B,14,43.11,11.26
51,B,57,350.03,43.74
52,B,19,86.24,30.88
53,B,46,196.05,56.93
54,B,1,0.0,0.0
56,B,17,79.25,23.61
57,B,18,72.0,24.12
58,B,65,331.69,82.81
59,B,46,323.12,108.94
60,B,17,72.31,20.11
61,B,4,6.73,8.67
62,B,1,0.0,0.0
63,B,40,206.53,35.32
64,B,77,219.4,37.46
65,B,34,66.37,26.16
66,B,76,261.9,40.68
67,B,82,369.28,84.51
68,B,29,61.79,18.16
69,B,2,2.03,4.06
70,B,58,501.72,86.81
71,B,68,391.71,95.98
72,B,15,61.69,17.03
73,B,31,199.79,43.18
74,B,20,154.03,80.7
75,B,3,23.65,4.78
76,B,37,251.77,80.93
77,B,2,2.43,4.85
78,B,10,123.35,64.34
79,B,8,83.55,73.06
80,B,52,477.67,128.96
81,B,28,76.04,20.01
82,B,24,45.69,7.04
83,B,30,164.4,36.68
84,B,26,144.51,64.02
85,B,38,212.4,47.82
86,B,1,0.0,0.0
87,B,27,148.37,49.64
88,B,35,78.36,13.63
89,B,29,86.1,16.47
90,B,30,131.52,43.63
91,B,30,270.14,121.41
92,B,12,43.81,23.16
93,B,4,28.89,15.51
94,B,4,33.86,26.73
96,B,4,0.66,0.66
97,B,4,0.0,0.0
99,B,2,1.84,3.68
100,B,19,208.77,108.33
114,B,11,88.54,60.68
116,B,14,88.76,48.83
117,B,15,69.0,36.05
118,B,15,126.6,75.89
129,B,16,65.99,23.81
130,B,17,27.26,10.42
131,B,1,0.0,0.0
132,B,16,16.28,5.44
142,B,6,69.17,45.74
143,B,1,0.0,0.0
144,B,3,0.0,0.0
145,B,3,0.0,0.0
146,B,1,0.0,0.0
147,B,5,1.79,1.2
148,B,3,2.49,3.91
149,B,3,6.39,8.07
150,B,3,0.52,0.69
151,B,3,7.1,9.29
152,B,3,29.22,53.79
153,B,3,25.59,46.23
154,B,3,27.98,54.97
155,B,3,0.24,0.48
156,B,3,11.96,19.65
157,B,3,4.56,6.48
158,B,3,2.32,2.4
159,B,3,2.46,3.4
160,B,3,0.83,1.51
161,B,3,1.11,1.54
162,B,3,1.9,2.1
163,B,3,36.94,39.2
164,B,3,2.65,3.32
165,B,3,3.69,6.13
166,B,3,1.62,2.16
167,B,3,18.88,33.5
168,B,1,0.0,0.0
169,B,38,91.0,18.6
170,B,100,342.72,20.32
171,B,19,64.63,20.49
172,B,86,417.37,69.06
173,B,61,186.6,19.45
174,B,55,376.62,69.24
175,B,138,427.45,42.3
176,B,13,102.26,42.55
177,B,19,63.64,14.31
178,B,16,23.88,6.79
179,B,54,318.4,75.53
180,B,33,142.25,34.03
181,B,27,62.26,15.94
182,B,12,103.35,27.82
183,B,26,148.76,34.13
184,B,179,241.88,50.63
185,B,24,49.28,19.62
186,B,19,108.58,70.46
187,B,33,154.1,78.13
188,B,16,127.1,42.65
189,B,55,340.57,68.66
190,B,23,46.52,32.73
191,B,24,81.74,28.33
192,B,1,0.0,0.0
193,B,2,0.0,0.0
194,B,6,16.82,10.02
195,B,114,496.63,53.13
196,B,19,141.64,112.04
197,B,1,0.0,0.0
201,B,80,311.39,47.27
202,B,13,19.36,15.92
203,B,12,62.82,36.96
204,B,24,175.49,34.59
205,B,1,0.0,0.0
206,B,19,53.01,11.62
207,B,8,28.7,21.61
208,B,1,0.0,0.0
210,B,3,0.0,0.0
211,B,17,99.77,40.29
212,B,4,6.84,9.12
213,B,4,16.86,20.35
214,B,155,744.77,76.35
215,B,8,29.66,5.52
216,B,8,17.87,3.74
217,B,31,45.19,6.66
218,B,5,16.0,7.41
219,B,24,227.03,109.06
220,B,21,101.73,36.59
221,B,21,186.29,66.44
222,B,4,14.97,6.59
223,B,18,94.62,22.89
224,B,2,16.79,16.79
225,B,55,222.68,26.63
226,B,37,236.65,64.77
227,B,45,175.46,60.8
228,B,51,198.12,68.0
229,B,2,16.85,16.85
230,B,24,204.56,49.01
231,B,27,81.81,12.71
232,B,25,152.07,82.45
233,B,36,79.97,15.92
234,B,42,149.8,39.27
235,B,3,31.25,36.11
236,B,1,0.0,0.0
237,B,3,0.33,0.33
238,B,3,0.27,0.27
239,B,8,9.76,9.15
240,B,33,142.66,26.86
241,B,34,60.31,6.97
242,B,1,0.0,0.0
243,B,173,1028.23,78.19
245,B,74,238.27,46.64
246,B,17,88.0,22.81
273,B,30,136.34,36.96
276,B,10,74.83,53.41
277,B,23,121.47,31.44
278,B,16,127.9,18.91
279,B,2,53.23,13.31
280,B,5,1.34,0.54
281,B,5,0.0,0.0
283,B,10,50.09,79.48
284,B,13,134.59,59.06
285,B,102,559.23,35.31
286,B,3,2.08,0.78
287,B,233,1181.0,83.51
288,B,45,284.53,42.59
289,B,6,59.23,28.84
290,B,14,112.89,26.75
291,B,29,170.89,23.97
292,B,13,68.09,24.56
293,B,1,0.0,0.0
294,B,75,426.58,43.96
295,B,82,365.66,48.45
296,B,10,50.91,22.98
297,B,8,27.95,8.39
298,B,84,353.28,60.31
299,B,11,141.8,23.52
300,B,63,350.19,64.95
301,B,97,230.98,58.9
302,B,59,374.64,62.87
303,B,137,723.42,96.79
304,B,75,373.68,91.0
305,B,20,28.52,5.42
306,B,2,0.0,0.0
307,B,5,1.33,0.86
308,B,18,59.93,31.61
309,B,1,0.0,0.0
310,B,44,242.27,38.45
311,B,33,254.9,60.55
312,B,1,0.0,0.0
313,B,63,151.03,43.77
