frame,track_id,x1,y1,x2,y2,foot_x,foot_y,x_pitch,y_pitch,in_pitch,conf
0,1,1400.7,775.7,1420.2,816.0,1410.5,816.0,82.781,51.76,1,0.833
0,2,685.5,794.9,706.3,841.8,695.9,841.8,35.344,58.307,1,0.805
0,3,1104.3,824.9,1120.8,874.8,1112.6,874.8,61.27,63.656,1,0.8
0,4,1297.2,712.8,1306.1,744.2,1301.6,744.2,81.68,30.339,1,0.776
0,5,735.6,748.2,746.4,784.8,741.0,784.8,34.906,44.613,1,0.746
0,6,1462.2,721.9,1473.7,755.6,1468.0,755.6,94.31,34.393,1,0.742
0,7,613.8,720.6,624.9,752.7,619.3,752.7,21.589,34.305,1,0.734
0,8,999.9,745.6,1011.1,782.8,1005.5,782.8,55.307,43.698,1,0.727
0,9,753.5,706.6,763.5,738.4,758.5,738.4,32.607,28.549,1,0.717
0,10,706.4,675.4,716.2,701.2,711.3,701.2,23.114,10.097,1,0.693
0,11,842.0,681.0,850.5,707.7,846.3,707.7,38.679,13.78,1,0.692
0,12,940.4,707.2,949.9,739.2,945.1,739.2,49.936,28.696,1,0.679
0,13,1009.5,697.2,1017.9,725.6,1013.7,725.6,56.325,22.692,1,0.658
0,14,400.4,724.5,411.6,756.0,406.0,756.0,3.225,35.777,1,0.587
0,15,949.2,718.4,957.9,747.8,953.5,747.8,50.838,32.068,1,0.587
0,16,554.3,750.5,568.7,796.6,561.5,796.6,22.269,48.136,1,0.517
0,17,1241.3,685.3,1251.0,715.0,1246.2,715.0,79.907,17.383,1,0.509
0,18,1157.1,685.5,1167.9,714.9,1162.5,714.9,71.508,17.39,1,0.396
0,19,1243.5,746.4,1254.6,785.3,1249.1,785.3,73.761,44.107,1,0.368
0,20,1155.3,717.1,1166.3,744.4,1160.8,744.4,69.265,30.55,1,0.364
0,21,553.7,758.9,567.1,797.4,560.4,797.4,22.267,48.336,1,0.356
0,22,953.1,758.1,965.2,795.2,959.1,795.2,51.848,47.228,1,0.324
1,1,1400.5,775.6,1420.0,816.0,1410.2,816.0,82.767,51.758,1,0.836
1,2,686.6,795.0,707.1,841.6,696.8,841.6,35.393,58.266,1,0.766
1,3,1103.8,825.3,1120.1,874.8,1112.0,874.8,61.237,63.652,1,0.808
