frame,track_id,x1,y1,x2,y2,foot_x,foot_y,x_pitch,y_pitch,in_pitch,conf
0,1,1542.6,718.7,1556.3,750.8,1549.4,750.8,101.944,32.565,1,0.802
0,2,1121.8,736.0,1146.0,770.9,1133.9,770.9,65.642,39.927,1,0.8
0,3,1362.8,766.6,1376.7,806.1,1369.8,806.1,80.865,49.468,1,0.8
0,4,1057.6,716.2,1074.8,746.4,1066.2,746.4,60.806,31.433,1,0.775
0,5,1450.6,755.1,1463.9,792.6,1457.3,792.6,88.464,45.844,1,0.772
0,6,1336.1,791.0,1360.9,833.2,1348.5,833.2,77.339,55.633,1,0.76
0,7,1290.0,751.9,1306.2,788.8,1298.1,788.8,77.169,45.01,1,0.76
0,8,993.7,775.6,1009.6,818.6,1001.6,818.6,54.946,52.926,1,0.758
0,9,1030.0,722.6,1044.5,751.3,1037.3,751.3,58.175,33.303,1,0.754
0,10,412.9,721.5,426.1,753.7,419.5,753.7,3.941,34.898,1,0.726
0,11,1457.0,772.1,1474.8,810.2,1465.9,810.2,87.112,50.315,1,0.718
0,12,1279.3,718.0,1293.0,750.0,1286.1,750.0,79.713,32.562,1,0.712
0,13,1069.2,679.4,1078.1,707.9,1073.6,707.9,62.801,13.745,1,0.707
0,14,1354.6,708.8,1368.9,741.3,1361.8,741.3,87.339,29.133,1,0.702
0,15,1190.3,705.4,1203.8,739.6,1197.1,739.6,72.834,28.601,1,0.691
0,16,1145.7,690.7,1160.2,716.4,1153.0,716.4,70.438,18.146,1,0.666
0,17,1315.8,712.0,1329.9,746.3,1322.9,746.3,83.297,31.11,1,0.638
0,18,1203.1,701.5,1215.4,727.9,1209.3,727.9,74.954,23.566,1,0.583
0,19,1302.2,731.0,1317.0,765.4,1309.6,765.4,80.127,37.919,1,0.57
0,20,996.7,739.1,1006.0,759.5,1001.4,759.5,55.038,36.308,1,0.419
0,21,996.7,753.9,1007.2,780.5,1002.0,780.5,55.039,43.016,1,0.33
0,22,997.3,756.4,1006.5,777.3,1001.9,777.3,55.041,42.057,1,0.325
1,1,1539.3,718.1,1554.5,751.2,1546.9,751.2,101.662,32.7,1,0.776
1,2,1119.6,736.0,1143.3,770.4,1131.5,770.4,65.469,39.744,1,0.784
1,3,1360.3,767.8,1375.3,806.7,1367.8,806.7,80.678,49.609,1,0.739
1,4,1055.7,716.1,1073.7,746.5,1064.7,746.5,60.671,31.475,1,0.782
1,5,1449.2,755.1,1463.0,792.7,1456.1,792.7,88.361,45.892,1,0.79
1,6,1336.1,791.2,1360.7,833.6,1348.4,833.6,77.309,55.708,1,0.747
1,7,1291.1,753.7,1305.7,788.7,1298.4,788.7,77.199,44.994,1,0.785
1,8,994.4,777.8,1010.2,816.2,1002.3,816.2,54.995,52.385,1,0.755
1,9,1031.3,724.4,1045.4,751.7,1038.4,751.7,58.265,33.467,1,0.726
1,10,413.2,721.3,426.1,753.6,419.7,753.6,3.951,34.893,1,0.722
1,11,1457.5,773.4,1476.5,810.6,1467.0,810.6,87.144,50.414,1,0.741
1,12,1281.1,717.8,1293.9,749.9,1287.5,749.9,79.847,32.5,1,0.742
1,13,1066.5,679.4,1077.2,708.1,1071.8,708.1,62.605,13.842,1,0.719
1,14,1351.4,708.4,1367.9,741.4,1359.7,741.4,87.15,29.145,1,0.74
1,15,1185.5,707.3,1202.0,740.1,1193.8,740.1,72.498,28.808,1,0.765
1,16,1143.9,691.0,1157.2,716.3,1150.6,716.3,70.2,18.121,1,0.594
1,17,1315.4,710.2,1329.9,746.2,1322.7,746.2,83.285,31.09,1,0.67
1,18,1201.5,698.1,1211.1,728.6,1206.3,728.6,74.613,23.88,1,0.538
1,19,1301.6,733.0,1316.7,767.5,1309.1,767.5,79.887,38.599,1,0.583
1,21,994.7,741.9,1005.1,780.9,999.9,780.9,54.88,43.134,1,0.571
2,1,1536.8,718.7,1552.2,751.4,1544.5,751.4,101.416,32.786,1,0.786
2,2,1118.6,737.2,1136.9,771.7,1127.7,771.7,65.112,40.191,1,0.799
2,3,1358.4,768.5,1374.7,809.2,1366.5,809.2,80.379,50.218,1,0.792
2,4,1053.2,716.7,1070.4,747.2,1061.8,747.2,60.402,31.724,1,0.77
2,5,1447.6,755.6,1462.0,793.8,1454.8,793.8,88.14,46.186,1,0.796
2,6,1335.9,791.3,1359.7,833.9,1347.8,833.9,77.243,55.783,1,0.764
2,7,1291.1,754.2,1305.5,791.4,1298.3,791.4,76.977,45.73,1,0.763
2,8,995.1,774.8,1009.5,815.4,1002.3,815.4,54.996,52.196,1,0.757
2,9,1031.9,725.3,1045.0,751.9,1038.4,751.9,58.268,33.546,1,0.77
2,10,413.0,721.3,426.1,753.7,419.6,753.7,3.942,34.894,1,0.724
2,11,1459.4,773.4,1476.7,810.7,1468.1,810.7,87.203,50.438,1,0.705
2,12,1283.8,716.8,1295.4,749.7,1289.6,749.7,80.043,32.435,1,0.736
2,13,1065.3,680.5,1077.0,708.1,1071.1,708.1,62.528,13.854,1,0.748
2,14,1348.1,708.0,1366.7,741.2,1357.4,741.2,86.975,29.075,1,0.687
2,15,1180.7,706.8,1199.5,738.5,1190.1,738.5,72.291,28.171,1,0.728
2,16,1142.5,691.1,1153.8,716.7,1148.2,716.7,69.93,18.324,1,0.747
