frame,time,team,player,screen_x,screen_y,pitch_x,pitch_y,in_pitch,track_id
0,0.0,緑,緑1,1549.4,750.8,101.944,32.565,1,1
1,0.042,緑,緑1,1548.4,751.1,101.809,32.666,1,1
2,0.083,緑,緑1,1546.9,751.2,101.663,32.704,1,1
3,0.125,緑,緑1,1545.7,751.4,101.525,32.77,1,1
4,0.167,緑,緑1,1544.2,751.4,101.388,32.794,1,1
5,0.208,黒,黒3,1542.6,751.5,101.24,32.824,1,1
6,0.25,黒,黒3,1540.9,751.5,101.1,32.821,1,1
7,0.292,黒,黒3,1538.8,751.4,100.937,32.805,1,1
8,0.333,黒,黒3,1537.0,751.5,100.783,32.814,1,1
9,0.375,黒,黒3,1535.3,751.4,100.649,32.795,1,1
10,0.417,黒,黒3,1534.4,751.8,100.499,32.934,1,1
11,0.458,黒,黒3,1532.6,752.1,100.29,33.065,1,1
12,0.5,黒,黒3,1531.0,752.5,100.095,33.187,1,1
13,0.542,黒,黒3,1529.2,752.3,99.974,33.12,1,1
14,0.584,黒,黒3,1527.8,752.4,99.83,33.182,1,1
15,0.625,黒,黒3,1525.9,752.7,99.627,33.278,1,1
16,0.667,黒,黒3,1523.4,752.6,99.44,33.229,1,1
17,0.709,黒,黒3,1520.7,752.7,99.192,33.277,1,1
18,0.75,黒,黒3,1518.3,752.9,98.961,33.352,1,1
19,0.792,黒,黒3,1516.1,752.9,98.774,33.36,1,1
20,0.834,黒,黒3,1515.0,752.8,98.691,33.339,1,1
21,0.875,黒,黒3,1513.7,752.5,98.632,33.233,1,1
22,0.917,黒,黒3,1512.0,752.3,98.525,33.16,1,1
23,0.959,黒,黒3,1510.2,752.4,98.363,33.191,1,1
24,1.0,黒,黒3,1508.5,752.9,98.128,33.377,1,1
25,1.042,黒,黒3,1506.9,753.2,97.953,33.477,1,1
26,1.084,黒,黒3,1505.1,753.1,97.808,33.463,1,1
27,1.125,黒,黒3,1503.1,753.2,97.626,33.491,1,1
28,1.167,黒,黒3,1500.9,753.3,97.435,33.509,1,1
29,1.209,黒,黒3,1499.2,753.3,97.294,33.522,1,1
30,1.25,黒,黒3,1497.6,753.3,97.152,33.54,1,1
31,1.292,黒,黒3,1496.0,753.4,97.003,33.568,1,1
32,1.334,黒,黒3,1494.4,753.9,96.788,33.741,1,1
33,1.375,黒,黒3,1492.8,754.1,96.627,33.813,1,1
34,1.417,黒,黒3,1492.0,754.2,96.535,33.869,1,1
35,1.459,黒,黒3,1491.1,754.2,96.465,33.856,1,1
36,1.5,黒,黒3,1489.6,754.5,96.294,33.957,1,1
37,1.542,黒,黒3,1487.8,754.5,96.141,33.962,1,1
38,1.584,黒,黒3,1486.3,754.4,96.029,33.931,1,1
39,1.626,黒,黒3,1485.0,754.3,95.941,33.899,1,1
40,1.667,黒,黒3,1483.9,754.4,95.825,33.951,1,1
41,1.709,黒,黒3,1482.4,754.8,95.647,34.073,1,1
42,1.751,黒,黒3,1481.4,755.0,95.525,34.149,1,1
43,1.792,黒,黒3,1480.4,755.2,95.408,34.225,1,1
44,1.834,黒,黒3,1479.4,755.2,95.329,34.229,1,1
45,1.876,黒,黒3,1478.9,755.1,95.292,34.209,1,1
46,1.917,黒,黒3,1478.0,755.1,95.219,34.21,1,1
47,1.959,黒,黒3,1477.0,755.2,95.134,34.218,1,1
48,2.001,黒,黒3,1476.4,755.0,95.104,34.179,1,1
