frame,track_id,x1,y1,x2,y2,foot_x,foot_y,x_pitch,y_pitch,in_pitch,conf
0,1,1542.6,718.7,1556.3,750.8,1549.4,750.8,101.944,32.565,1,0.802
0,2,1121.8,736.0,1146.0,770.9,1133.9,770.9,65.642,39.927,1,0.8
0,3,1362.8,766.6,1376.7,806.1,1369.8,806.1,80.865,49.468,1,0.8
0,4,1057.6,716.2,1074.8,746.4,1066.2,746.4,60.806,31.433,1,0.775
0,5,1450.6,755.1,1463.9,792.6,1457.3,792.6,88.464,45.844,1,0.772
0,6,1336.1,791.0,1360.9,833.2,1348.5,833.2,77.339,55.633,1,0.76
0,7,1290.0,751.9,1306.2,788.8,1298.1,788.8,77.169,45.01,1,0.76
0,8,993.7,775.6,1009.6,818.6,1001.6,818.6,54.946,52.926,1,0.758
0,9,1030.0,722.6,1044.5,751.3,1037.3,751.3,58.175,33.303,1,0.754
0,10,412.9,721.5,426.1,753.7,419.5,753.7,3.941,34.898,1,0.726
0,11,1457.0,772.1,1474.8,810.2,1465.9,810.2,87.112,50.315,1,0.718
0,12,1279.3,718.0,1293.0,750.0,1286.1,750.0,79.713,32.562,1,0.712
0,13,1069.2,679.4,1078.1,707.9,1073.6,707.9,62.801,13.745,1,0.707
0,14,1354.6,708.8,1368.9,741.3,1361.8,741.3,87.339,29.133,1,0.702
0,15,1190.3,705.4,1203.8,739.6,1197.1,739.6,72.834,28.601,1,0.691
0,16,1145.7,690.7,1160.2,716.4,1153.0,716.4,70.438,18.146,1,0.666
0,17,1315.8,712.0,1329.9,746.3,1322.9,746.3,83.297,31.11,1,0.638
0,18,1203.1,701.5,1215.4,727.9,1209.3,727.9,74.954,23.566,1,0.583
0,19,1302.2,731.0,1317.0,765.4,1309.6,765.4,80.127,37.919,1,0.57
0,20,996.7,739.1,1006.0,759.5,1001.4,759.5,55.038,36.308,1,0.419
0,21,996.7,753.9,1007.2,780.5,1002.0,780.5,55.039,43.016,1,0.33
0,22,997.3,756.4,1006.5,777.3,1001.9,777.3,55.041,42.057,1,0.325
1,1,1541.4,718.0,1555.5,751.1,1548.4,751.1,101.809,32.666,1,0.73
1,2,1118.9,736.0,1143.5,771.4,1131.2,771.4,65.405,40.062,1,0.815
1,3,1361.9,767.3,1375.7,806.5,1368.8,806.5,80.763,49.566,1,0.772
1,4,1057.0,716.3,1074.3,746.7,1065.7,746.7,60.757,31.523,1,0.755
1,5,1450.3,755.0,1463.8,792.6,1457.1,792.6,88.443,45.859,1,0.776
1,6,1335.6,791.8,1360.0,833.3,1347.8,833.3,77.292,55.642,1,0.608
1,7,1290.6,752.9,1306.3,788.5,1298.4,788.5,77.215,44.934,1,0.765
1,8,994.7,777.2,1009.6,817.5,1002.2,817.5,54.983,52.678,1,0.751
1,9,1031.0,724.0,1044.8,751.2,1037.9,751.2,58.23,33.277,1,0.752
1,10,413.1,721.4,426.2,753.7,419.7,753.7,3.968,34.924,1,0.72
1,11,1457.8,773.5,1475.1,810.3,1466.4,810.3,87.137,50.34,1,0.673
1,12,1279.7,717.9,1293.4,750.0,1286.5,750.0,79.753,32.55,1,0.73
1,13,1068.0,679.2,1077.1,708.1,1072.5,708.1,62.676,13.887,1,0.713
1,14,1353.9,708.7,1368.3,741.3,1361.1,741.3,87.287,29.109,1,0.75
1,15,1189.2,706.7,1202.4,739.9,1195.8,739.9,72.696,28.726,1,0.749
1,16,1144.8,690.8,1159.1,716.1,1152.0,716.1,70.36,17.994,1,0.622
1,17,1314.9,709.5,1330.1,746.4,1322.5,746.4,83.252,31.157,1,0.698
1,18,1201.1,690.6,1217.5,725.9,1209.3,725.9,75.142,22.67,1,0.634
1,19,1302.2,731.9,1317.1,766.3,1309.6,766.3,80.042,38.206,1,0.55
1,20,996.1,739.4,1005.3,759.8,1000.7,759.8,54.981,36.403,1,0.378
1,21,995.8,752.6,1006.0,778.7,1000.9,778.7,54.963,42.479,1,0.295
2,1,1539.8,717.9,1554.0,751.2,1546.9,751.2,101.663,32.704,1,0.776
2,2,1119.0,736.0,1143.0,770.5,1131.0,770.5,65.424,39.797,1,0.784
2,3,1360.9,767.9,1374.6,806.7,1367.7,806.7,80.674,49.616,1,0.739
2,4,1056.0,716.2,1073.4,746.6,1064.7,746.6,60.674,31.49,1,0.782
2,5,1449.5,755.0,1463.0,792.7,1456.2,792.7,88.371,45.885,1,0.79
2,6,1335.9,791.4,1360.7,833.5,1348.3,833.5,77.303,55.699,1,0.747
2,7,1290.9,753.8,1306.2,788.6,1298.5,788.6,77.212,44.971,1,0.785
2,8,995.3,778.1,1009.5,816.1,1002.4,816.1,55.002,52.364,1,0.755
2,9,1031.6,724.6,1045.3,751.7,1038.5,751.7,58.274,33.442,1,0.726
2,10,413.1,721.3,426.3,753.7,419.7,753.7,3.96,34.903,1,0.722
2,11,1458.4,773.7,1475.8,810.5,1467.1,810.5,87.152,50.407,1,0.741
2,12,1280.6,717.8,1294.3,749.9,1287.5,749.9,79.848,32.496,1,0.742
2,13,1067.2,679.4,1076.3,708.1,1071.8,708.1,62.595,13.863,1,0.719
2,14,1352.4,708.4,1367.0,741.3,1359.7,741.3,87.161,29.128,1,0.74
2,15,1187.2,707.4,1200.3,740.1,1193.8,740.1,72.496,28.815,1,0.765
