frame,track_id,x1,y1,x2,y2,foot_x,foot_y,x_pitch,y_pitch,in_pitch,conf
0,1,1401,776,1420,816,1410.5,816,82.779,51.769,1,1.0
0,2,1103,825,1119,873,1111.0,873,61.214,63.357,1,1.0
0,3,1297,712,1306,744,1301.5,744,81.698,30.244,1,1.0
0,4,687,795,705,840,696.0,840,35.246,57.946,1,1.0
0,5,736,748,747,784,741.5,784,34.891,44.395,1,1.0
0,6,1461,721,1473,755,1467.0,755,94.329,34.172,1,1.0
0,7,1000,745,1011,782,1005.5,782,55.31,43.463,1,1.0
0,8,613,721,625,751,619.0,751,21.33,33.675,1,1.0
0,9,754,706,764,737,759.0,737,32.517,27.962,1,1.0
0,10,707,676,716,700,711.5,700,22.944,9.41,1,1.0
0,11,1241,685,1249,714,1245.0,714,79.911,16.873,1,1.0
0,12,947,717,957,747,952.0,747,50.691,31.781,1,1.0
0,13,940,708,951,738,945.5,738,49.945,28.192,1,1.0
0,14,843,681,850,706,846.5,706,38.57,12.827,1,1.0
0,15,401,724,413,754,407.0,754,2.891,35.037,1,1.0
0,16,1009,698,1017,725,1013.0,725,56.263,22.416,1,1.0
0,17,552,759,568,797,560.0,797,22.197,48.243,1,1.0
0,18,1155,714,1166,744,1160.5,744,69.26,30.392,1,1.0
0,19,552,751,569,797,560.5,797,22.235,48.242,1,1.0
0,20,1243,746,1254,785,1248.5,785,73.742,44.015,1,1.0
0,21,954,760,964,795,959.0,795,51.835,47.163,1,1.0
0,22,1156,685,1167,715,1161.5,715,71.403,17.439,1,1.0
1,1,1401,775,1419,816,1410.0,816,82.745,51.77,1,1.0
1,2,1102,825,1118,873,1110.0,873,61.156,63.358,1,1.0
1,3,1296,712,1305,744,1300.5,744,81.61,30.245,1,1.0
1,4,694,795,709,842,701.5,842,35.716,58.337,1,1.0
1,5,737,748,751,784,744.0,784,35.086,44.391,1,1.0
1,6,1462,721,1475,756,1468.5,756,94.296,34.526,1,1.0
1,7,1000,745,1010,782,1005.0,782,55.271,43.464,1,1.0
1,8,612,720,624,751,618.0,751,21.241,33.676,1,1.0
1,9,754,706,764,737,759.0,737,32.517,27.962,1,1.0
1,10,706,676,716,701,711.0,701,23.052,10.007,1,1.0
1,11,1240,685,1249,713,1244.5,713,79.983,16.359,1,1.0
1,12,944,718,957,746,950.5,746,50.542,31.397,1,1.0
1,13,940,707,951,739,945.5,739,49.965,28.605,1,1.0
1,14,843,681,851,706,847.0,706,38.624,12.827,1,1.0
1,15,401,724,415,754,408.0,754,2.98,35.036,1,1.0
1,16,1007,698,1016,725,1011.5,725,56.117,22.417,1,1.0
1,17,548,759,568,800,558.0,800,22.382,49.032,1,1.0
1,18,1154,712,1166,744,1160.0,744,69.216,30.392,1,1.0
