frame,track_id,x1,y1,x2,y2,foot_x,foot_y,x_pitch,y_pitch,in_pitch,conf
0,1,1401,776,1420,816,1410.5,816,82.779,51.769,1,1.0
0,2,1103,825,1120,874,1111.5,874,61.224,63.521,1,1.0
0,3,1297,712,1306,744,1301.5,744,81.698,30.244,1,1.0
0,4,688,795,705,841,696.5,841,35.336,58.145,1,1.0
0,5,736,748,747,783,741.5,783,34.82,44.104,1,1.0
0,6,1462,721,1473,755,1467.5,755,94.371,34.172,1,1.0
0,7,1000,745,1011,782,1005.5,782,55.31,43.463,1,1.0
0,8,613,720,625,751,619.0,751,21.33,33.675,1,1.0
0,9,753,706,764,737,758.5,737,32.47,27.963,1,1.0
0,10,706,675,716,700,711.0,700,22.888,9.41,1,1.0
0,11,1240,685,1250,714,1245.0,714,79.911,16.873,1,1.0
0,12,947,719,957,747,952.0,747,50.691,31.781,1,1.0
0,13,940,707,952,739,946.0,739,50.011,28.605,1,1.0
0,14,842,680,850,706,846.0,706,38.516,12.827,1,1.0
0,15,401,723,415,754,408.0,754,2.98,35.036,1,1.0
0,16,1008,697,1017,725,1012.5,725,56.214,22.416,1,1.0
0,17,554,773,560,795,557.0,795,21.744,47.714,1,1.0
0,18,1155,715,1166,744,1160.5,744,69.26,30.392,1,1.0
0,19,552,751,569,797,560.5,797,22.235,48.242,1,1.0
0,20,1243,746,1254,784,1248.5,784,73.811,43.728,1,1.0
0,21,954,761,964,795,959.0,795,51.835,47.163,1,1.0
0,22,1156,685,1167,715,1161.5,715,71.403,17.439,1,1.0
1,1,1401,775,1420,816,1410.5,816,82.779,51.769,1,1.0
1,2,1103,826,1118,874,1110.5,874,61.167,63.523,1,1.0
1,3,1296,712,1306,744,1301.0,744,81.654,30.244,1,1.0
1,4,696,795,710,841,703.0,841,35.756,58.136,1,1.0
1,5,738,748,752,784,745.0,784,35.164,44.39,1,1.0
1,6,1463,722,1475,755,1469.0,755,94.495,34.17,1,1.0
1,7,1001,744,1012,782,1006.5,782,55.387,43.462,1,1.0
1,8,613,721,625,751,619.0,751,21.33,33.675,1,1.0
1,9,754,706,766,737,760.0,737,32.611,27.961,1,1.0
1,10,706,675,716,700,711.0,700,22.888,9.41,1,1.0
1,11,1239,685,1249,714,1244.0,714,79.811,16.873,1,1.0
1,12,948,719,958,747,953.0,747,50.78,31.78,1,1.0
1,13,940,707,952,740,946.0,740,50.03,29.014,1,1.0
1,14,843,680,851,706,847.0,706,38.624,12.827,1,1.0
1,15,401,724,415,754,408.0,754,2.98,35.036,1,1.0
1,16,1007,698,1017,725,1012.0,725,56.165,22.416,1,1.0
1,18,1155,715,1166,744,1160.5,744,69.26,30.392,1,1.0
1,19,549,750,571,798,560.0,798,22.309,48.507,1,1.0
1,20,1241,745,1254,785,1247.5,785,73.666,44.016,1,1.0
1,21,954,761,965,795,959.5,795,51.872,47.162,1,1.0
1,22,1153,683,1165,714,1159.0,714,71.231,16.93,1,1.0
2,1,1400,775,1414,816,1407.0,816,82.543,51.774,1,1.0
2,2,1102,826,1117,873,1109.5,873,61.127,63.359,1,1.0
2,3,1295,713,1306,744,1300.5,744,81.61,30.245,1,1.0
2,4,698,795,715,841,706.5,841,35.982,58.131,1,1.0
2,5,738,748,753,784,745.5,784,35.203,44.389,1,1.0
2,6,1463,722,1475,755,1469.0,755,94.495,34.17,1,1.0
2,7,1000,744,1011,782,1005.5,782,55.31,43.463,1,1.0
2,8,614,720,625,751,619.5,751,21.375,33.674,1,1.0
2,9,755,706,767,737,761.0,737,32.705,27.96,1,1.0
2,10,706,675,716,700,711.0,700,22.888,9.41,1,1.0
2,11,1237,685,1248,713,1242.5,713,79.781,16.36,1,1.0
2,12,948,721,956,747,952.0,747,50.691,31.781,1,1.0
2,13,941,707,952,740,946.5,740,50.075,29.014,1,1.0
2,14,843,680,852,706,847.5,706,38.678,12.826,1,1.0
2,15,401,724,415,754,408.0,754,2.98,35.036,1,1.0
2,16,1005,697,1016,725,1010.5,725,56.019,22.418,1,1.0
2,18,1156,715,1166,744,1161.0,744,69.305,30.391,1,1.0
2,19,547,750,572,801,559.5,801,22.603,49.288,1,1.0
2,20,1238,745,1253,784,1245.5,784,73.584,43.732,1,1.0
2,21,954,761,965,795,959.5,795,51.872,47.162,1,1.0
2,22,1151,684,1164,714,1157.5,714,71.079,16.931,1,1.0
3,1,1398,775,1410,816,1404.0,816,82.341,51.778,1,1.0
3,2,1102,825,1115,873,1108.5,873,61.069,63.36,1,1.0
3,3,1294,712,1305,744,1299.5,744,81.522,30.246,1,1.0
3,4,698,796,723,840,710.5,840,36.186,57.925,1,1.0
3,5,739,748,754,783,746.5,783,35.211,44.097,1,1.0
3,6,1463,722,1474,755,1468.5,755,94.454,34.171,1,1.0
3,7,1001,744,1012,781,1006.5,781,55.39,43.168,1,1.0
3,8,614,720,626,750,620.0,750,21.283,33.297,1,1.0
3,9,757,706,768,737,762.5,737,32.846,27.959,1,1.0
3,10,706,675,716,700,711.0,700,22.888,9.41,1,1.0
3,11,1236,685,1247,713,1241.5,713,79.68,16.361,1,1.0
3,12,949,720,957,747,953.0,747,50.78,31.78,1,1.0
3,13,941,706,952,741,946.5,741,50.094,29.42,1,1.0
3,14,843,680,852,706,847.5,706,38.678,12.826,1,1.0
3,15,401,723,415,753,408.0,753,2.768,34.667,1,1.0
3,16,1004,697,1016,725,1010.0,725,55.971,22.418,1,1.0
3,17,547,763,563,801,555.0,801,22.269,49.294,1,1.0
3,18,1156,713,1166,744,1161.0,744,69.305,30.391,1,1.0
3,19,546,762,552,801,549.0,801,21.824,49.303,1,1.0
3,20,1237,746,1252,784,1244.5,784,73.508,43.733,1,1.0
3,21,954,761,965,795,959.5,795,51.872,47.162,1,1.0
3,22,1147,684,1163,713,1155.0,713,70.905,16.417,1,1.0
4,1,1395,774,1408,816,1401.5,816,82.173,51.781,1,1.0
4,2,1099,826,1113,874,1106.0,874,60.907,63.529,1,1.0
4,3,1294,711,1304,743,1299.0,743,81.591,29.854,1,1.0
4,4,701,797,725,838,713.0,838,36.238,57.519,1,1.0
4,5,744,747,755,783,749.5,783,35.445,44.093,1,1.0
4,6,1463,722,1473,754,1468.0,754,94.571,33.813,1,1.0
4,7,1000,744,1012,781,1006.0,781,55.352,43.169,1,1.0
4,8,616,720,627,749,621.5,749,21.279,32.916,1,1.0
4,9,758,706,768,737,763.0,737,32.893,27.958,1,1.0
4,10,706,675,716,699,711.0,699,22.722,8.807,1,1.0
4,11,1234,685,1246,713,1240.0,713,79.528,16.362,1,1.0
4,12,950,719,959,746,954.5,746,50.899,31.392,1,1.0
4,13,942,706,952,739,947.0,739,50.102,28.604,1,1.0
4,14,843,680,852,706,847.5,706,38.678,12.826,1,1.0
4,15,401,723,415,753,408.0,753,2.768,34.667,1,1.0
4,16,1002,696,1014,724,1008.0,724,55.782,21.953,1,1.0
4,17,545,764,558,801,551.5,801,22.01,49.299,1,1.0
4,18,1156,712,1166,744,1161.0,744,69.305,30.391,1,1.0
4,19,544,761,558,800,551.0,800,21.861,49.041,1,1.0
4,20,1235,745,1250,783,1242.5,783,73.425,43.447,1,1.0
4,21,954,761,965,794,959.5,794,51.863,46.894,1,1.0
4,22,1144,684,1161,712,1152.5,712,70.728,15.898,1,1.0
5,1,1391,774,1407,815,1399.0,815,82.093,51.552,1,1.0
5,2,1095,826,1113,874,1104.0,874,60.792,63.532,1,1.0
5,3,1293,711,1304,743,1298.5,743,81.547,29.854,1,1.0
5,4,710,798,733,838,721.5,838,36.792,57.507,1,1.0
5,5,746,746,757,784,751.5,784,35.67,44.381,1,1.0
5,6,1461,722,1473,755,1467.0,755,94.329,34.172,1,1.0
5,7,1000,744,1012,781,1006.0,781,55.352,43.169,1,1.0
5,8,617,719,628,749,622.5,749,21.369,32.915,1,1.0
5,9,758,706,768,736,763.0,736,32.799,27.536,1,1.0
5,10,706,675,716,700,711.0,700,22.888,9.41,1,1.0
5,11,1233,685,1243,712,1238.0,712,79.445,15.844,1,1.0
5,12,951,719,962,747,956.5,747,51.091,31.776,1,1.0
